verdict	where	source	surface	label	data-target	data-value	ids its component already declares	class	capability behind it (review aid only)
MUTATION	AccountRow.tsx:13	jsx/click	AccountRow	账号			-	NEW?	
MUTATION	AddPlugin.tsx:105	jsx/click	AddPlugin				-	NEW?	
MUTATION	AddPlugin.tsx:149	jsx/click	AddPlugin				-	NEW?	
MUTATION	AddPlugin.tsx:152	jsx/click	AddPlugin				-	NEW?	install
MUTATION	AddPlugin.tsx:171	jsx/click	AddPlugin				-	NEW?	
MUTATION	AddPlugin.tsx:181	jsx/keydown	AddPlugin				-	NEW?	look
MUTATION	AddPlugin.tsx:197	jsx/click	AddPlugin				-	NEW?	
MUTATION	AddPlugin.tsx:200	jsx/click	AddPlugin				-	NEW?	look
MUTATION	AddProvider.tsx:122	jsx/click	AddProvider				-	NEW?	connect
MUTATION	AddProvider.tsx:186	jsx/click	AddProvider				-	NEW?	save
MUTATION	AddServer.tsx:84	jsx/keydown	AddServer				-	NEW?	parse
MUTATION	AddServer.tsx:100	jsx/click	AddServer				-	NEW?	parse
MUTATION	AddServer.tsx:157	jsx/click	AddServer				-	NEW?	install
MUTATION	App.tsx:693	jsx/click	App				chrome.settings inspector.toggle rail.toggle	REUSE?	open close
MUTATION	Appearance.tsx:256	jsx/click	Appearance				-	NEW?	setTrayPrefs
MUTATION	Appearance.tsx:266	jsx/click	Appearance				-	NEW?	setTrayPrefs
MUTATION	Appearance.tsx:350	jsx/click	Appearance				-	NEW?	clearWallpaper
MUTATION	Appearance.tsx:357	jsx/change	Appearance				-	NEW?	uploadWallpaper
MUTATION	Appearance.tsx:631	jsx/click	Swatch				-	NEW?	activateTheme
MUTATION	CapabilityScope.tsx:11	jsx/click	Exception	恢复成跟随全局			-	NEW?	clearMcpOverride clearSkillOverride
MUTATION	Composer.tsx:360	jsx/keydown	Composer				plan.mode session.send session.stop	REUSE?	steer submit queueFollowup setPlanMode
MUTATION	EditConn.tsx:209	jsx/click	EditConn				-	NEW?	save
MUTATION	EditConn.tsx:212	jsx/click	EditConn	重新向该端点获取模型列表，适用于端点新增或下架模型之后			-	NEW?	refetch
MUTATION	Hooks.tsx:143	jsx/click	Hooks				-	NEW?	toggleRecipe
MUTATION	Hooks.tsx:223	jsx/click	Expert				-	NEW?	save
MUTATION	Hooks.tsx:239	jsx/click	Expert				-	NEW?	tryOne
MUTATION	Hooks.tsx:258	jsx/click	Expert				-	NEW?	save
MUTATION	Models.tsx:154	jsx/click	Models				-	NEW?	setModel
MUTATION	Network.tsx:160	jsx/click	Network				network.diagnose	REUSE?	save
MUTATION	Onboarding.tsx:175	jsx/keydown	Onboarding				-	NEW?	start connect
MUTATION	Packages.tsx:84	jsx/click	Package				-	NEW?	
MUTATION	Packages.tsx:90	jsx/click	Package				-	NEW?	
MUTATION	Packages.tsx:104	jsx/click	Package				-	NEW?	setPluginEnabled
MUTATION	Packages.tsx:121	jsx/click	Package				-	NEW?	removePlugin
MUTATION	Pane.tsx:709	jsx/submit	PaneView				-	NEW?	steer submit queueFollowup
MUTATION	panels/Context.tsx:222	jsx/keydown	DeclareWindow	上下文窗口（tokens）			-	NEW?	commit
MUTATION	panels/Context.tsx:235	jsx/click	DeclareWindow				-	NEW?	commit
MUTATION	panels/Extensions.tsx:65	jsx/click	Extensions				-	NEW?	invokeExtensionAction
MUTATION	PaneTabs.tsx:102	jsx/click	PaneTabs				-	NEW?	close
MUTATION	PaneTabs.tsx:121	jsx/click	PaneTabs				-	NEW?	
MUTATION	PaneTabs.tsx:169	jsx/click	PaneTabs	关闭这个面板			-	NEW?	close
MUTATION	PaneTabs.tsx:203	jsx/click	PaneTabs				-	NEW?	close
MUTATION	PaneTabs.tsx:206	jsx/click	PaneTabs				-	NEW?	close
MUTATION	PaneTabs.tsx:213	jsx/click	PaneTabs				-	NEW?	close
MUTATION	Providers.tsx:211	jsx/click	Conn				provider.protocol provider.remove provider.thinking provider.web-search	REUSE?	check
MUTATION	Queue.tsx:160	jsx/keydown	Queue				queue.cancel queue.edit queue.move queue.pause queue.refresh queue.retry	REUSE?	editQueued
MUTATION	RemoteAsk.tsx:52	jsx/keydown	RemoteAsk				remote-ask.answer	REUSE?	answerRemote
MUTATION	RemoteHosts.tsx:290	jsx/click	RemoteHostsView	不再列出 {path}			-	NEW?	drop
MUTATION	Remotes.tsx:182	jsx/click	Remotes				-	NEW?	drop
MUTATION	Remotes.tsx:198	jsx/click	Remotes	按 ssh_config 里的设置加进来			-	NEW?	save
MUTATION	Remotes.tsx:335	jsx/click	Remotes				-	NEW?	save
MUTATION	Roles.tsx:114	jsx/click	Slot				-	NEW?	setRole
MUTATION	Roles.tsx:119	jsx/click	Slot				-	NEW?	setRole
